name,flavor_id,compound_ids
almond,148,"3361,29914,29922,29926"
apple,105,"8743,12617,9068,8786,8789,8790,21436,13957,358,11888,8074,8730,5303,8863,897,8150,19444,12202,13576,14914,15974,10571,8787,865,12376,8879,14633,763,10840,10570,14798,14915"
banana,208,29808
blueberry,193,"12011,10995,29487,4303"
broccoli,34,"3256,12155,29841,14493,12156,29876,13795,12449,15484,13797,29896,16242,16241,18012,411,16243,20008,20167,12003,14620,11404,16240,9195,12354,19882,20150,16307,20165,13626,2918,16196,12586,14402,9019,11685,12157,4834,12557,9194,8794,14466,8746,19912,13627,13616,744,16872,5806,20015,8530,16958,19992,412,11797,13726,16849,13417,18001,17561,21469,20009,3369,13427,8321,1358,16331,9483,2988,2289,3304,10562,18444,12418,12408,11523,16860,16831,16847,9783,10404,3308,17586,10419,16749,13625,8189,2288,13623,8188,10418,13725,12841,9272,9556,16230,21436,13425,21562,15571,3281,16856,19937,16244,8272,15483,8754,13624,18011,3140,8263,3430,16232,10566,3254,13796,8551,18448,14949,13071,20168,3010,416,14360,13413"
butter,320,"21459,8177"
butter,667,9128
butter,785,"14664,8282,8106,8493,16313,11933,8561,1325,12443,925,3361,11217,18954,13881,16317,753"
carrot,245,"8788,9287,3877,11675,15612,14657,16243,8392,9571,11131,8237,3194,15085,2293,14979,8549,19889,14721,8783,17243,12021,12418,16144,5303,8782,17037,14377,16057,17264,1462,29934,14917,16327,15042,8087,12414,1015,12299"
cheese,631,"16409,15030"
cucumber,65,"8132,29897,19942,8298,16953,3246,12086"
egg,633,"12458,2296,9194,897,16336,19539,16240,10841,16230,14948,856,14898,13796,9851,16833,16830"
garlic,8,"14922,29871,3844,14602,15995,16750,14731,8493,8065,965,13720"
grape,29,"15498,1424,29913,15027,3368,11409,3281,1371,12003,3478,3486,20164,12011,13615,14297"
grape,374,3194
honey,643,"13352,1225,10415,920,15448,13368,14739,787,16129,15406,15435,15422,1946,15414,13367,1132,14378,19994,20133,12537,18779,13369,15443,11679,951,20333,1044,13385,11917,20330,15362,15575,15413,15419,784,15395,13737,1931,13388,1182,14087,16201,15449,1134,20327,1183,17293,933,2100,19510,18861,16916,10559,12008,8275,747,10262,12488,465,556,14708,11859,9781,3362,19979,1066,13492,446,12590,515,371,20192,1176,474,15409,14993,10217,3136,20325,15557,19869,748,14743,16140,15421,15405,15441,20556,3295,3292,12531,9754,557,1184,14507,19876,13294,919,1245,16351,14822,13293,10511,2253,19902,20326,1212,1226,16396,19548,16252,15416,13362,1185,9613,484,14407,9136,12393,15401,3294,12126,20559,1982,880,756,12743,13354,12400,567,15637,14564,13357,13393,8310,3380,16255,12176,22064,1164,2942,9057,12570,20328,11132,1477,13364,13359,3293,13248,13365,20558,12589,21561,1167,12682,1186,570,13279,918,1981,16809,13371,16315,12196,18135"
lettuce,95,"13400,11621,11776,8718,3266,10900,19463,734,19904,9795,19918,15530,12757,3592,14992,16869,10897,11046,10803,16161,15392,9800,8502,19863,8282,13819,8284,18361,8044,8137,9458,9844,11120,6726,3213,9044,19957,12461,16321,8120,18434,21771,9366,20887,9872,13475,9549,10508,11160,21336,16868,8557,21233,21277,911,10074,21205,19457,14953,8561,12747,883,9792,14099,9283,13456,9457,19857,9791,21292,8121,3492,724,8511,706,9402,18767,10426,11048,9798,18433,8372,12040,804,21554,15052,19078,19916,3375,9869,20381,21458,3210,9790,8380,8278,8327,20080,19965,3376,8382,17635,16183,15036,19144,16172,9548,8048,29809,12169,8895,10036,21916,875,803,3177"
orange,26,"12241,12109,872,10502,10551"
peanut,16,19942
peanut,44,"753,12087,3279,8179,10899,13899,8380,21567,12241,14619,12544,1465,11888,12201,29835,19962,29841,8746,29855,8723,17582,14948,10562,19140,872,10576,11675,3393,14887,19991,2917,8076,29887,19969,29894,2291,11941,3015,14706,2292,29902,2897,16241,14898,8741,13588,15736,9602,14960,963,22003,29920,14573,16880,15572,29922,29924,20799,29930,21100,29935,10504,12109,11134,2253,12395,19925,8549,19927,969,8247,15872,16575,8231,15078,15995,9843,12411,878,2987,10554,10542,14408,16307,20165,10529,8367,12453,18148,3346,3248,16449,9571,11131,14103,3310,20173,10513,19502,13908,14402,17557,12458,10502,11908,871,13525,14300,20378,8296,12454,14620,15070,14487,10078,10505,17571,2076,15267,12560,3995,16865,15269,19998,8056,13617,838,16338,12174,9610,11901,16844,12200,11614,16870,14503,16871,11413,11415,728,16302,11685,2296,14664,12004,16763,9848,19975,826,8865,13622,887,8717,15279,11679,9191,16864,8073,13233,19934,15740,8748,15873,12557,9015,12191,8866,1363,8785,9194,12847,9823,9397,1028,8794,14466,19933,21922,1366,12406,774,29919,11950,19305,11863,10563,3371,19931,8532,21453,6368,17007,14700,16014,12457,15083,2937,1327,12003,729,12758,11101,809,13724,13616,846,17274,12005,9643,3368,19255,9606,12617,13764,10561,29899,16225,16872,11811,19889,15357,10442,776,18757,9294,16873,5806,15090,20015,19870,18145,10557,16303,8884,16572,12863,10042,12555,15786,1369,14327,9849,9185,19935,8054,16578,10906,1929,9484,21924,16750,10508,14721,20203,3230,9875,14894,8109,8892,18365,20024,9553,18756,16849,8783,14902,12058,3217,16855,8540,16166,20383,3365,17561,11420,16854,16299,11130,3360,17431,9807,11933,21469,12647,12556,21935,16162,10555,17257,15484,16862,8787,20136,15046,21479,15092,10012,8268,16829,14943,12396,10589,1358,8411,17560,10572,9645,16815,8246,2294,8295,17287,16745,10560,19913,20026,21242,3245,15059,13898,16239,16296,29795,14816,3409,3417,8404,8342,8879,15278,9460,2413,21244,8108,12021,8182,14439,12451,8860,16837,12448,20382,17562,12408,15272,14369,20624,8250,13795,16857,11523,3418,20373,9067,12204,16312,13597,8053,12884,15064,8257,8264,11916,16963,822,3905,12553,12354,16831,20219,13256,19993,17479,16847,18447,19265,12562,15035,20385,8788,8187,8126,3481,22094,3241,12869,2712,17586,12885,19254,3196,20166,20387,8133,20220,19890,841,12438,20389,3276,12450,16861,8394,11275,10399,16116,12014,855,2728,16137,21933,10506,13721,8782,807,11880,9857,8288,16749,8173,8752,17393,15089,13625,17267,8189,14604,29909,18378,10231,9819,10551,11711,3306,2793,16207,12044,21245,966,1029,10531,17253,18002,8297,3401,10439,10856,19914,889,15045,8209,8398,10841,1371,15003,8867,9649,952,888,19928,18089,12455,15067,12156,3338,3383,17264,8230,9408,9556,16013,13578,18767,16230,15547,9564,8162,16753,16988,21436,19997,13762,16912,8071,14630,14509,8154,1462,11814,3309,3269,13703,8219,13699,13913,15074,1267,15517,12476,3281,14519,20209,8393,8172,15033,8256,8157,5380,20205,9835,8747,16764,1367,18989,16744,11619,8731,16242,14913,20000,16301,19211,9554,19871,16867,9566,12554,3375,18455,9788,9288,8060,19948,11846,11165,16856,18012,9361,11218,16817,18954,9604,3198,8749,8544,839,8099,19937,18758,19352,3297,16244,16010,16408,15780,16838,8272,16957,15973,11847,19253,11669,12550,12160,8258,21412,16003,14945,20014,17698,373,8711,16846,477,8409,1326,12698,8135,17263,3256,10530,8078,8396,9635,18462,12872,12757,8087,20882,718,19929,8081,12882,12000,11802,9851,1136,20388,15514,8082,10422,9559,12447,20204,8096,3364,19458,8224,13071,2870,10590,8536,10158,9563,3277,13615,20001,17244,1291,12055,20206,16853,9392,20542,12771,10955,16878,10875,19977,9758,8254,12561,15772,15072,11059,4430,12299,19971,30905,3014,14705,14895,4804,15735,15737,14356"
pepper,40,"8546,10952,8549,872,12557,20014,8794,18755,3379,14589,12015,3248,10562,10900,11838,13617,838,18003,9606,11163,11114,8540,16815,15059,12721,3286,20167,18002,18358,15068,16764,15499,16817,16179,10136,16136,13615"
potato,175,"13978,14734"
rice,125,"15052,29811"
salt,666,3304
spinach,178,"12395,20012,14617,16314,739,10572,2793,14667,16013,9182"
strawberry,83,"16878,8396,11710,8394,29899,12863,15730,9602,20382,21126,8549,8754,11409,20014,19255,8747,11404,18954,16116,12015,8532,16881,16841,22003,16880,16966,2292,3485,16412,18367,10042,18365,16433,17561,3481,20389,3286,15089,13625,13623,16744,16867,11816,16985,19884,9511,8395,13596,16836,12864,15778"
sugar,670,"14816,13864,8244,16747,14632,17407,22008"
walnut,622,"12867,8550,21470,8552,12624,20219,9826,11707,3401,12831,13903,12476,8272,9635"
